\\ Названия способностей: \\
\\ Обновлено 29.05.2019; Патч 7.22b \\

"ability_attribute_bonus"	"Бонус к атрибутам"

"ability_nevermore_shadowraze2_shadowraze_range"	"ДАЛЬНОСТЬ ПРИМЕНЕНИЯ:"
"[english]ability_nevermore_shadowraze2_shadowraze_range"	"RANGE:"

"ability_nevermore_shadowraze3"	"Shadowraze"
"[english]ability_nevermore_shadowraze3"	"Shadowraze"

"ability_nevermore_shadowraze3_Description"	"Герой опустошает участок земли на значительном расстоянии от себя, нанося урон всем врагам в зоне действия. Накладывает на жертву складывающийся эффект, увеличивающий урон от этой способности с каждым её попаданием."
"[english]ability_nevermore_shadowraze3_Description"	"Shadow Fiend razes the ground a longer distance away from him, dealing damage to enemy units in the area. Adds a stacking damage amplifier on the target that causes the enemy to take bonus Shadow Raze damage per stack."

"ability_nevermore_shadowraze3_Lore"	"Фирменный метод сбора душ."
"[english]ability_nevermore_shadowraze3_Lore"	"Nevermore's trademark for harvesting souls."

"ability_nevermore_shadowraze3_shadowraze_range"	"ДАЛЬНОСТЬ ПРИМЕНЕНИЯ:"
"[english]ability_nevermore_shadowraze3_shadowraze_range"	"RANGE:"

"ability_nevermore_necromastery"	"Necromastery"
"[english]ability_nevermore_necromastery"	"Necromastery"

"ability_nevermore_necromastery_Description"	"Герой крадет душу каждого убитого врага, получая бонус к атаке. При убийстве героя он получает сразу 12 душ. После смерти выпускает половину из них.\n\nУлучшается с Aghanim's Scepter."
"[english]ability_nevermore_necromastery_Description"	"Shadow Fiend steals the soul from units he kills, gaining bonus damage. If the killed unit is a hero, he gains 12 souls.  On death, he releases half of them from bondage.\n\nUpgradable by Aghanim's Scepter."

"ability_nevermore_necromastery_Lore"	"Собранные души скользят по грани Бездны, усиливая Невермора и позволяя ему и дальше пополнять свою коллекцию."
"[english]ability_nevermore_necromastery_Lore"	"Harvested souls swirl in and out of the Abysm, empowering the Shadow Fiend to increase the size of his collection."

"ability_nevermore_necromastery_necromastery_max_souls"	"МАКС. ДУШ:"
"[english]ability_nevermore_necromastery_necromastery_max_souls"	"MAX SOULS:"

"ability_nevermore_necromastery_necromastery_damage_per_soul"	"УРОНА ЗА ДУШУ:"
"[english]ability_nevermore_necromastery_necromastery_damage_per_soul"	"DAMAGE PER SOUL:"

"ability_nevermore_dark_lord"	"Presence of the Dark Lord"
"[english]ability_nevermore_dark_lord"	"Presence of the Dark Lord"

"ability_nevermore_dark_lord_Description"	"Присутствие героя снижает броню ближайших врагов."
"[english]ability_nevermore_dark_lord_Description"	"Shadow Fiend's presence reduces the armor of nearby enemies."

"ability_nevermore_dark_lord_Lore"	"Даже просто будучи рядом, Невермор разъедает душу."
"[english]ability_nevermore_dark_lord_Lore"	"Even being near Nevermore eats away at one's soul."

"ability_nevermore_dark_lord_presence_armor_reduction"	"СНИЖЕНИЕ:"
"[english]ability_nevermore_dark_lord_presence_armor_reduction"	"REDUCTION:"

"ability_nevermore_requiem"	"Requiem of Souls"
"[english]ability_nevermore_requiem"	"Requiem of Souls"

"ability_nevermore_requiem_Description"	"Герой выпускает собранные души в волнах демонической энергии. Существа возле него могут получить урон от нескольких волн. Уменьшает скорость передвижения и урон каждого существа, получившего урон от этой способности. Создаёт одну волну энергии за каждые две души, захваченные с помощью Necromastery. Если герой погибнет, то эта способность сработает автоматически вне зависимости от её готовности.\n\nУлучшается с Aghanim's Scepter."
"[english]ability_nevermore_requiem_Description"	"Shadow Fiend gathers his captured souls to release them as lines of demonic energy. Units near Shadow Fiend when the souls are released can be damaged by several lines of energy. Any unit damaged by Requiem of Souls will have its movement speed and attack damage reduced. Lines of energy are created for every 2 souls captured through Necromastery. Requiem of Souls is automatically cast whenever Shadow Fiend dies, regardless of its cooldown.\n\nUpgradable by Aghanim's Scepter."

"ability_sven_storm_bolt"	"Storm Hammer"
"[english]ability_sven_storm_bolt"	"Storm Hammer"

"ability_sven_storm_bolt_Description"	"Герой высвобождает всю мощь своей магической рукавицы, нанося врагам урон и оглушая их."
"[english]ability_sven_storm_bolt_Description"	"Sven unleashes his magical gauntlet that deals damage and stuns enemy units."

"ability_sven_storm_bolt_bolt_stun_duration"	"ДЛИТЕЛЬНОСТЬ:"
"[english]ability_sven_storm_bolt_bolt_stun_duration"	"DURATION:"

"ability_sven_storm_bolt_bolt_aoe"	"РАДИУС:"
"[english]ability_sven_storm_bolt_bolt_aoe"	"RADIUS:"

"ability_sven_great_cleave"	"Great Cleave"
"[english]ability_sven_great_cleave"	"Great Cleave"

"ability_sven_great_cleave_Description"	"Могучие удары героя прорубают жертву, поражая всех врагов вокруг неё."
"[english]ability_sven_great_cleave_Description"	"Sven strikes with great force, cleaving all nearby enemy units with his attack."

"ability_sven_great_cleave_great_cleave_damage"	"%ПРОРУБАЮЩИЙ УРОН:"
"[english]ability_sven_great_cleave_great_cleave_damage"	"%CLEAVE DAMAGE:"

"ability_sven_warcry"	"Warcry"
"[english]ability_sven_warcry"	"Warcry"

"ability_sven_warcry_Description"	"Боевой клич поднимает дух союзных героев и дарует им щит, защищающий от атак и увеличивающий скорость передвижения, пока его не уничтожат. Здоровье щита также зависит от силы владельца способности."
"[english]ability_sven_warcry_Description"	"Sven's Warcry heartens his allied heroes for battle, increasing their movement speed and provides them with an attack damage shield. Buff ends if the shield is consumed. Shield health grows based on Sven's strength."

"ability_sven_warcry_warcry_radius"	"РАДИУС:"
"[english]ability_sven_warcry_warcry_radius"	"RADIUS:"

"ability_sven_warcry_warcry_armor"	"ДОП. БРОНЯ:"
"[english]ability_sven_warcry_warcry_armor"	"BONUS ARMOR:"

"ability_sven_warcry_warcry_movespeed"	"%ДОП. СКОРОСТЬ:"
"[english]ability_sven_warcry_warcry_movespeed"	"%BONUS SPEED:"

"ability_sven_gods_strength"	"God's Strength"
"[english]ability_sven_gods_strength"	"God's Strength"

"ability_sven_gods_strength_Description"	"Sven концентрирует свою неконтролируемую силу, получая бонус к урону на 25 секунд.\n\nУлучшается с Aghanim's Scepter."
"[english]ability_sven_gods_strength_Description"	"Sven channels his rogue strength, granting bonus damage for 25 seconds.\n\nUpgradable by Aghanim's Scepter."

"ability_sven_gods_strength_gods_strength_damage"	"%ДОПОЛНИТЕЛЬНЫЙ УРОН:"
"[english]ability_sven_gods_strength_gods_strength_damage"	"%BONUS DAMAGE:"

"ability_phantom_assassin_stifling_dagger"	"Stifling Dagger"
"[english]ability_phantom_assassin_stifling_dagger"	"Stifling Dagger"

"ability_phantom_assassin_stifling_dagger_Description"	"Бросает кинжал, который замедляет скорость передвижения врага, наносит ему физический урон в размере %base_damage% + %attack_factor_tooltip%%% от атаки героя, а также накладывает эффекты предметов и способностей."
"[english]ability_phantom_assassin_stifling_dagger_Description"	"Throws a dagger slowing the enemy unit's movement speed, dealing %base_damage%+%attack_factor_tooltip%%% of Phantom Assassin's attack damage as physical damage and applying attack effects from items and abilities."

"ability_phantom_assassin_stifling_dagger_move_slow"	"%ЗАМЕДЛЕНИЕ ПЕРЕДВИЖЕНИЯ:"
"[english]ability_phantom_assassin_stifling_dagger_move_slow"	"%MOVE SLOW:"

"ability_phantom_assassin_stifling_dagger_duration"	"ДЛИТЕЛЬНОСТЬ ЗАМЕДЛЕНИЯ:"
"[english]ability_phantom_assassin_stifling_dagger_duration"	"SLOW DURATION:"

"ability_phantom_assassin_phantom_strike"	"Phantom Strike"
"[english]ability_phantom_assassin_phantom_strike"	"Phantom Strike"

"ability_phantom_assassin_phantom_strike_Description"	"Герой телепортируется к выбранному существу и, если это противник, получает дополнительную скорость атаки."
"[english]ability_phantom_assassin_phantom_strike_Description"	"Teleports to a unit, friendly or enemy, and grants bonus attack speed while attacking if it's an enemy unit."

"ability_phantom_assassin_phantom_strike_bonus_max_attack_count"	"МАКС. АТАК:"
"[english]ability_phantom_assassin_phantom_strike_bonus_max_attack_count"	"MAX ATTACKS:"

"ability_phantom_assassin_phantom_strike_bonus_attack_speed"	"ДОП. СКОРОСТЬ АТАКИ:"
"[english]ability_phantom_assassin_phantom_strike_bonus_attack_speed"	"BONUS ATTACK SPEED:"

"ability_phantom_assassin_phantom_strike_tooltip_range"	"ДАЛЬНОСТЬ ПРИМЕНЕНИЯ:"
"[english]ability_phantom_assassin_phantom_strike_tooltip_range"	"RANGE:"

"ability_phantom_assassin_blur"	"Blur"
"[english]ability_phantom_assassin_blur"	"Blur"

"ability_phantom_assassin_blur_Description"	"Герой сосредотачивается на себе, что позволяет ему уклоняться от атак. Применение способности размоет очертания владельца, делая его невидимым, если рядом нет вражеских героев.\n\nСочетается с другими источниками уклонения по закону убывающей полезности.\n\nУлучшается с Aghanim's Scepter."
"[english]ability_phantom_assassin_blur_Description"	"Phantom Assassin focuses inward, increasing her ability to evade enemy attacks. Can be activated to blur her body, causing her to be impossible to see until near enemy heroes.\n\nStacks diminishingly with other sources of Evasion.\n\nUpgradable by Aghanim's Scepter."

"ability_phantom_assassin_blur_bonus_evasion"	"%УКЛОНЕНИЕ:"
"[english]ability_phantom_assassin_blur_bonus_evasion"	"%EVASION:"

"ability_phantom_assassin_coup_de_grace"	"Coup de Grace"
"[english]ability_phantom_assassin_coup_de_grace"	"Coup de Grace"

"ability_phantom_assassin_coup_de_grace_Description"	"Герой оттачивает свои боевые способности, получая шанс нанести сокрушительный критический удар по врагу. Способность Stifling Dagger также получает такой шанс."
"[english]ability_phantom_assassin_coup_de_grace_Description"	"Phantom Assassin refines her combat abilities, gaining a chance of delivering a devastating critical strike to enemy units. Stifling Dagger shares the same critical strike chance."

"ability_phantom_assassin_coup_de_grace_crit_chance"	"%ШАНС КРИТИЧЕСКОЙ АТАКИ:"
"[english]ability_phantom_assassin_coup_de_grace_crit_chance"	"%CRITICAL CHANCE:"

"ability_phantom_assassin_coup_de_grace_crit_bonus"	"%КРИТИЧЕСКИЙ УРОН:"
"[english]ability_phantom_assassin_coup_de_grace_crit_bonus"	"%CRITICAL DAMAGE:"

"ability_skeleton_king_hellfire_blast"	"Wraithfire Blast"
"[english]ability_skeleton_king_hellfire_blast"	"Wraithfire Blast"

"ability_skeleton_king_hellfire_blast_Description"	"Герой опаляет цель призрачным огнём, оглушая её и нанося ей урон. После оглушения цель будет получать периодический урон и замедлится."
"[english]ability_skeleton_king_hellfire_blast_Description"	"Wraith King sears an enemy unit with spectral fire, dealing damage and stunning, then dealing damage over time and slowing the target."

"ability_skeleton_king_hellfire_blast_blast_stun_duration"	"ДЛИТЕЛЬНОСТЬ ОГЛУШЕНИЯ:"
"[english]ability_skeleton_king_hellfire_blast_blast_stun_duration"	"STUN DURATION:"

"ability_skeleton_king_hellfire_blast_tooltip_slow_duration"	"ДЛИТЕЛЬНОСТЬ ЗАМЕДЛЕНИЯ:"
"[english]ability_skeleton_king_hellfire_blast_tooltip_slow_duration"	"SLOW DURATION:"

"ability_skeleton_king_hellfire_blast_blast_slow"	"%ЗАМЕДЛЕНИЕ ПЕРЕДВИЖЕНИЯ:"
"[english]ability_skeleton_king_hellfire_blast_blast_slow"	"%MOVEMENT SLOW:"

"ability_skeleton_king_hellfire_blast_blast_dot_damage"	"УРОН В СЕКУНДУ:"
"[english]ability_skeleton_king_hellfire_blast_blast_dot_damage"	"DAMAGE PER SECOND:"

"ability_skeleton_king_vampiric_aura"	"Vampiric Aura"
"[english]ability_skeleton_king_vampiric_aura"	"Vampiric Aura"

"ability_skeleton_king_vampiric_aura_Description"	"Союзники ближнего боя, находящиеся неподалёку от героя, с каждой атакой восстанавливают себе здоровье в зависимости от её урона."
"[english]ability_skeleton_king_vampiric_aura_Description"	"Nearby friendly melee units restore health based on the damage they deal when attacking enemy units."

"ability_skeleton_king_vampiric_aura_vampiric_aura"	"%ВАМПИРИЗМ:"
"[english]ability_skeleton_king_vampiric_aura_vampiric_aura"	"%LIFESTEAL:"

"ability_skeleton_king_reincarnation"	"Reincarnation"
"[english]ability_skeleton_king_reincarnation"	"Reincarnation"

"ability_skeleton_king_reincarnation_Description"	"После смерти тело героя вновь собирается воедино, воскрешая его на поле боя. При этом все враги в радиусе %slow_radius% замедляются.\n\nУлучшается с Aghanim's Scepter."
"[english]ability_skeleton_king_reincarnation_Description"	"Wraith King's form regroups after death, allowing him to resurrect when killed in battle.  Upon death, enemy units in a %slow_radius% radius will be slowed.\n\nUpgradable by Aghanim's Scepter."

"ability_skeleton_king_reincarnation_reincarnate_time"	"ВРЕМЯ ПЕРЕРОЖДЕНИЯ:"
"[english]ability_skeleton_king_reincarnation_reincarnate_time"	"REINCARNATION TIME:"

"ability_drow_ranger_frost_arrows"	"Frost Arrows"
"[english]ability_drow_ranger_frost_arrows"	"Frost Arrows"

"ability_drow_ranger_frost_arrows_Description"	"Добавляет к атакам героя замораживающий эффект, замедляющий передвижение врага. Длится %frost_arrows_hero_duration_tooltip% секунды на героях и %frost_arrows_creep_duration% секунд на крипах."
"[english]ability_drow_ranger_frost_arrows_Description"	"Adds a freezing effect to Drow's attacks, slowing enemy movement.  Lasts %frost_arrows_hero_duration_tooltip% seconds on Heroes, and %frost_arrows_creep_duration% seconds on creeps."

"ability_drow_ranger_frost_arrows_frost_arrows_movement_speed"	"%ЗАМЕДЛЕНИЕ:"
"[english]ability_drow_ranger_frost_arrows_frost_arrows_movement_speed"	"%MOVEMENT SLOW:"

"ability_drow_ranger_silence"	"Silence"
"[english]ability_drow_ranger_silence"	"Silence"

"ability_drow_ranger_silence_Description"	"Запрещает всем вражеским существам в выбранной области применять способности."
"[english]ability_drow_ranger_silence_Description"	"Stops all enemy units in a target area from casting spells."

"ability_drow_ranger_silence_silence_radius"	"РАДИУС:"
"[english]ability_drow_ranger_silence_silence_radius"	"RADIUS:"

"ability_drow_ranger_silence_duration"	"ДЛИТЕЛЬНОСТЬ:"
"[english]ability_drow_ranger_silence_duration"	"DURATION:"

"ability_drow_ranger_trueshot"	"Precision Aura"
"[english]ability_drow_ranger_trueshot"	"Precision Aura"

"ability_drow_ranger_trueshot_Description"	"Увеличивает скорость атаки всех союзных героев дальнего боя, основываясь на ловкости владельца способности. Применение способности дарует этот бонус крипам дальнего боя на 30 сек."
"[english]ability_drow_ranger_trueshot_Description"	"Adds bonus attack speed to allied, ranged Hero units based on a percentage of Drow's agility.  Affects creeps for 30 seconds when cast."

"ability_drow_ranger_trueshot_trueshot_ranged_damage"	"%ДОПОЛНИТЕЛЬНЫЙ УРОН:"
"[english]ability_drow_ranger_trueshot_trueshot_ranged_damage"	"%RANGE DAMAGE BONUS:"

"ability_drow_ranger_marksmanship"	"Marksmanship"
"[english]ability_drow_ranger_marksmanship"	"Marksmanship"

"ability_drow_ranger_marksmanship_Description"	"Боевой опыт позволяет герою выпускать стрелы метче и эффективнее. С каждой атакой есть вероятность выпустить стрелу, игнорирующую базовую броню вражеских героев и наносящую им дополнительный физический урон, а также мгновенно убивающую любых крипов, кроме древних. Бонус пропадает, если в радиусе %disable_range% единиц есть вражеские герои.\n\nУлучшается с Aghanim's Scepter."
"[english]ability_drow_ranger_marksmanship_Description"	"Drow's experiences in battle grant her a chance to launch arrows with incredible accuracy and effectiveness. Pierces through the enemy's defenses, ignoring their base armor. Instantly kills creeps and deals bonus proc physical damage to heroes. This ability is disabled if there is an enemy hero within %disable_range% range. \n\nUpgradable by Aghanim's Scepter."

"ability_drow_ranger_marksmanship_marksmanship_agility_bonus"	"ДОП. ЛОВКОСТЬ:"
"[english]ability_drow_ranger_marksmanship_marksmanship_agility_bonus"	"BONUS AGILITY:"

"ability_morphling_waveform"	"Waveform"
"[english]ability_morphling_waveform"	"Waveform"

"ability_morphling_waveform_Description"	"Герой принимает жидкую форму и устремляется вперёд, нанося урон всем врагам на своём пути. Во время применения способности герой неуязвим."
"[english]ability_morphling_waveform_Description"	"Morphling dissolves into liquid and surges forward, damaging enemy units in his path.  Morphling is invulnerable during Waveform."

"ability_morphling_morph_agi"	"Attribute Shift (ловкость)"
"[english]ability_morphling_morph_agi"	"Attribute Shift (Agility Gain)"

"ability_morphling_morph_agi_Description"	"Герой меняет свою форму, превращая очки силы в очки ловкости. Этот процесс обратим. С уровнем растёт скорость превращения. Также даёт постоянный бонус к ловкости."
"[english]ability_morphling_morph_agi_Description"	"Morphling shifts its form, pulling points from Strength and pouring them into Agility. The process is reversible.  Additional points in Attribute Shift increase the rate of stat change.  Passively grants bonus Agility."

"ability_morphling_morph_str"	"Attribute Shift (сила)"
"[english]ability_morphling_morph_str"	"Attribute Shift (Strength Gain)"

"ability_morphling_morph_str_Description"	"Герой меняет свою форму, превращая очки ловкости в очки силы. Этот процесс обратим. С уровнем растёт скорость превращения. Также даёт постоянный бонус к силе."
"[english]ability_morphling_morph_str_Description"	"Morphling shifts its form, pulling points from Agility and pouring them into Strength. The process is reversible.  Additional points in Attribute Shift increase the rate of stat change.  Passively grants bonus Strength."

"ability_morphling_replicate"	"Morph"
"[english]ability_morphling_replicate"	"Morph"

"ability_morphling_replicate_Description"	"Герой изменяет свою форму по образу и подобию выбранного противника, получая его основные способности. Во время действия форму героя можно изменить на основную и наоборот.\n\nУлучшается с Aghanim's Scepter."
"[english]ability_morphling_replicate_Description"	"Morphling changes his form to match the targeted enemy, gaining their basic abilities. Can be toggled for the duration of the ability.\n\nUpgradable by Aghanim's Scepter."

"ability_morphling_replicate_duration"	"ДЛИТЕЛЬНОСТЬ:"
"[english]ability_morphling_replicate_duration"	"DURATION:"

"ability_morphling_morph_replicate"	"Morph Replicate"
"[english]ability_morphling_morph_replicate"	"Morph Replicate"

"ability_morphling_morph_replicate_Description"	"Герой мгновенно меняет свою форму."
"[english]ability_morphling_morph_replicate_Description"	"Morphling switches into his replication, instantly taking its position."

"ability_bloodseeker_bloodrage"	"Bloodrage"
"[english]ability_bloodseeker_bloodrage"	"Bloodrage"

"ability_bloodseeker_bloodrage_Description"	"Пробуждает в существе жажду крови, из-за которой оно наносит и получает повышенный урон. Совершив убийство, цель излечится на часть от максимального здоровья жертвы. Если существо под действием способности погибнет, то излечит убийцу на часть от своего максимального здоровья. Излечивает вполсилы, если цель способности находилась в радиусе 300 от убитого вражеского героя, но не добила его сама."
"[english]ability_bloodseeker_bloodrage_Description"	"Drives a unit into a bloodthirsty rage during which a unit deals, and takes, increased damage. Units affected by Bloodrage will be healed for a percentage of the max health of any units they kill. Units affected by Bloodrage when killed will heal a percentage of their max health to their killer. If you do not get the last hit, but are within 300 AoE of the dying hero, you will take 50% of the heal."

"ability_bloodseeker_bloodrage_duration"	"ДЛИТЕЛЬНОСТЬ:"
"[english]ability_bloodseeker_bloodrage_duration"	"DURATION:"

"ability_bloodseeker_bloodrage_damage_increase_pct"	"%УВЕЛИЧЕНИЕ УРОНА:"
"[english]ability_bloodseeker_bloodrage_damage_increase_pct"	"%DAMAGE INCREASE:"

"ability_bloodseeker_blood_bath"	"Blood Rite"
"[english]ability_bloodseeker_blood_bath"	"Blood Rite"

"ability_bloodseeker_blood_bath_Description"	"Герой окропляет выбранную область святой кровью. Через %delay_plus_castpoint_tooltip% сек. ритуал завершается, нанося противникам урон и запрещая им применять способности."
"[english]ability_bloodseeker_blood_bath_Description"	"Bloodseeker baptizes an area in sacred blood. After %delay_plus_castpoint_tooltip% seconds the ritual completes, causing any enemies caught in the area to take damage and become silenced."

"ability_bloodseeker_thirst"	"Thirst"
"[english]ability_bloodseeker_thirst"	"Thirst"

"ability_bloodseeker_thirst_Description"	"Герой чувствует ранения противников, получая дополнительные скорость передвижения и атаки, когда здоровье вражеского героя становится меньше %min_bonus_pct%%%. Чем ниже уровень здоровья, тем сильнее эффект. Если здоровье вражеского героя упадёт ниже %invis_threshold_pct%%%, его станет видно в любой точке карты, даже если он невидим. Бонусы от разных противников складываются."
"[english]ability_bloodseeker_thirst_Description"	"Bloodseeker is invigorated by the wounds of his enemies, gaining bonus movement speed and attack speed whenever an enemy hero's health falls below %min_bonus_pct%%%, with the bonuses increasing as their health falls further. If an enemy hero's health falls below %invis_threshold_pct%%%, he will also gain vision and True Sight of that hero. Bonuses stack per hero."

"ability_bloodseeker_thirst_bonus_movement_speed"	"%МАКС. СКОРОСТЬ ПЕРЕДВИЖЕНИЯ ЗА ГЕРОЯ:"
"[english]ability_bloodseeker_thirst_bonus_movement_speed"	"%MAX THIRST MOVE SPEED:"

"ability_bloodseeker_rupture"	"Rupture"
"[english]ability_bloodseeker_rupture"	"Rupture"

"ability_bloodseeker_rupture_Description"	"Разрывает кожу врага. Если он будет передвигаться, то будет получать урон, зависящий от преодолённого расстояния. Урон проходит сквозь невосприимчивость к магии.\n\nУлучшается с Aghanim's Scepter."
"[english]ability_bloodseeker_rupture_Description"	"Causes an enemy unit's skin to rupture. If the unit moves, it takes damage based on the distance moved.  The damage is dealt through spell immunity.\n\nUpgradable by Aghanim's Scepter."

"ability_bloodseeker_rupture_duration"	"ДЛИТЕЛЬНОСТЬ:"
"[english]ability_bloodseeker_rupture_duration"	"DURATION:"

"ability_bloodseeker_rupture_movement_damage_pct"	"%УРОН ПРИ ПЕРЕДВИЖЕНИИ:"
"[english]ability_bloodseeker_rupture_movement_damage_pct"	"%MOVE DAMAGE:"

"ability_axe_berserkers_call"	"Berserker's Call"
"[english]ability_axe_berserkers_call"	"Berserker's Call"

"ability_axe_berserkers_call_Description"	"Герой бросает вызов ближайшим врагам, заставляя их атаковать его, а также получает бонус к броне на время действия способности."
"[english]ability_axe_berserkers_call_Description"	"Axe taunts nearby enemy units, forcing them to attack him, while he gains bonus armor during the duration."

"ability_axe_berserkers_call_Lore"	"Могучий рёв Могул Хана вынуждает врагов вступить в заведомо проигранную схватку."
"[english]ability_axe_berserkers_call_Lore"	"Mogul Khan's warcry taunts opponents into engaging in an unconquerable battle with the Axe."

"ability_axe_berserkers_call_radius"	"РАДИУС:"
"[english]ability_axe_berserkers_call_radius"	"RADIUS:"

"ability_axe_berserkers_call_bonus_armor"	"ДОП. БРОНЯ:"
"[english]ability_axe_berserkers_call_bonus_armor"	"BONUS ARMOR:"

"ability_axe_berserkers_call_duration"	"ДЛИТЕЛЬНОСТЬ:"
"[english]ability_axe_berserkers_call_duration"	"DURATION:"

"ability_axe_battle_hunger"	"Battle Hunger"
"[english]ability_axe_battle_hunger"	"Battle Hunger"

"ability_axe_battle_hunger_Description"	"Приводит врага в бешенство, замедляя его и нанося ему урон, пока он кого-нибудь не убьёт или действие способности не закончится. Герой получает бонус к скорости передвижения за каждое существо под воздействием этой способности, но от крипов бонус в два раза меньше.\n\nУлучшается с Aghanim's Scepter."
"[english]ability_axe_battle_hunger_Description"	"Enrages an enemy unit, causing it to be slowed and take damage over time until it kills another unit or the duration ends. Axe gains movement speed for each unit affected with Battle Hunger, half speed from creeps.\n\nUpgradable by Aghanim's Scepter."

"ability_axe_battle_hunger_Lore"	"Обычные герои не могут сопротивляться ярости Могул Хана, и она калечит их, пока они не выместят ее на ком-нибудь."
"[english]ability_axe_battle_hunger_Lore"	"Ordinary heroes cannot withstand Mogul Khan's rage for battle, such that it injures them until it is satisfied."

"ability_axe_battle_hunger_duration"	"ДЛИТЕЛЬНОСТЬ:"
"[english]ability_axe_battle_hunger_duration"	"DURATION:"

"ability_axe_battle_hunger_slow"	"%ЗАМЕДЛЕНИЕ ПЕРЕДВИЖЕНИЯ:"
"[english]ability_axe_battle_hunger_slow"	"%MOVEMENT SLOW:"

"ability_axe_counter_helix"	"Counter Helix"
"[english]ability_axe_counter_helix"	"Counter Helix"

"ability_axe_counter_helix_Description"	"Герой отвечает на удары противников, нанося чистый урон всем врагам вокруг себя."
"[english]ability_axe_counter_helix_Description"	"When attacked, Axe performs a helix counter attack, dealing pure damage to all nearby enemies."

"ability_axe_counter_helix_Lore"	"Могул Хан — сам себе войско."
"[english]ability_axe_counter_helix_Lore"	"Axe is the only reinforcement this army needs."

"ability_axe_counter_helix_radius"	"РАДИУС:"
"[english]ability_axe_counter_helix_radius"	"RADIUS:"

"ability_axe_counter_helix_trigger_chance"	"%ШАНС КОНТРАТАКИ:"
"[english]ability_axe_counter_helix_trigger_chance"	"%CHANCE TO HELIX:"

"ability_axe_culling_blade"	"Culling Blade"
"[english]ability_axe_culling_blade"	"Culling Blade"

"ability_axe_culling_blade_Description"	"Герой кидается на ослабшего противника, мгновенно убивая цель, если у неё низкий уровень здоровья. В ином случае удар нанесёт лишь небольшой урон. Герой и его союзники поблизости получат дополнительную скорость, а способность мгновенно восстановится, если ей убить вражеского героя."
"[english]ability_axe_culling_blade_Description"	"Axe spots a weakness and strikes, instantly killing an enemy unit with low health, or dealing moderate damage otherwise. When an enemy hero is killed with Culling Blade, its cooldown is reset, and Axe and nearby allied units gain bonus movement speed."

"ability_axe_culling_blade_Lore"	"Словно воплощение самой яростной битвы, Могул Хан жестоко расправляется с теми, кто осмелился дать ему бой."
"[english]ability_axe_culling_blade_Lore"	"Mogul Khan is the embodiment of battle and fury, launching into a gruesome fatality against those who dare engage the Axe in combat."

"ability_axe_culling_blade_kill_threshold"	"ЗДОРОВЬЯ ДЛЯ УБИЙСТВА:"
"[english]ability_axe_culling_blade_kill_threshold"	"KILL THRESHOLD:"

"ability_phantom_lancer_spirit_lance"	"Spirit Lance"
"[english]ability_phantom_lancer_spirit_lance"	"Spirit Lance"

"ability_phantom_lancer_spirit_lance_Description"	"Метает в указанного врага магическое копьё, которое наносит цели урон и замедляет её, а также создает атакующую её союзную иллюзию.\n\nУлучшается с Aghanim's Scepter."
"[english]ability_phantom_lancer_spirit_lance_Description"	"Sends a magical spirit lance to a target enemy unit that damages and slows, while summoning an illusory phantom to attack the unit.\n\nUpgradable by Aghanim's Scepter."

"ability_phantom_lancer_doppelwalk"	"Doppelganger"
"[english]ability_phantom_lancer_doppelwalk"	"Doppelganger"

"ability_phantom_lancer_doppelwalk_Description"	"Герой и все иллюзии неподалёку ненадолго исчезают с поля боя. Через %delay% сек. в случайных точках указанной области появляются сам герой, его копии, а также две новые иллюзии с разными характеристиками. Продлевает время жизни всех иллюзий. Одна из них получает обычный урон, но не наносит его, а другая — получает 600%% и наносит 20%% урона.\n\nТИП РАЗВЕИВАНИЯ: нормальное"
"[english]ability_phantom_lancer_doppelwalk_Description"	"Phantom Lancer briefly vanishes from the battlefield. After %delay% second, Phantom Lancer and any of his nearby illusions reappear at a random position within the targeted location, along with two additional doppelgangers. Extends duration of all illusions. The two added doppelgangers have different properties: one takes normal damage and deals none, while the other takes 600%% damage and deals 20%% damage.\n\nDISPEL TYPE: Basic Dispel"

"ability_phantom_lancer_juxtapose"	"Juxtapose"
"[english]ability_phantom_lancer_juxtapose"	"Juxtapose"

"ability_phantom_lancer_juxtapose_Description"	"При каждой атаке герой может раздробить свою сущность, создав иллюзорную копию себя. Все иллюзии героя также могут раздробиться. Копии, созданные самим героем, живут %illusion_duration% сек., а копии, созданные другими иллюзиями — %illusion_from_illusion_duration% сек."
"[english]ability_phantom_lancer_juxtapose_Description"	"Phantom Lancer has a chance to fracture his presence, creating an illusion of himself. Illusions also have a chance to fracture further. Illusions created from Phantom Lancer last for %illusion_duration% seconds, while illusions created from other illusions last %illusion_from_illusion_duration% seconds."

"ability_razor_plasma_field"	"Plasma Field"
"[english]ability_razor_plasma_field"	"Plasma Field"

"ability_razor_plasma_field_Description"	"Герой высвобождает волну энергетической плазмы, которая затем возвращается к нему. Волна замедляет врагов и наносит им урон: чем дальше она от владельца, тем замедление и урон сильнее. Волна наносит урон дважды, при движении в обе стороны."
