\\ Названия всех модифайеров \\
\\ Обновлено 29.05.2019; Патч 7.22b \\

"modifier_life_stealer_infest"	"Паразитирует носителя"

"modifier_broodmother_poison_sting_debuff"	"Poison Sting"
"[english]modifier_broodmother_poison_sting_debuff"	"Poison Sting"

"modifier_broodmother_poison_sting_debuff_Description"	"Получает %dMODIFIER_PROPERTY_TOOLTIP% урона в секунду, скорость передвижения уменьшена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."
"[english]modifier_broodmother_poison_sting_debuff_Description"	"Ticking for %dMODIFIER_PROPERTY_TOOLTIP% damage per second, slowing by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."

"modifier_omniknight_repel"	"Heavenly Grace"
"[english]modifier_omniknight_repel"	"Heavenly Grace"

"modifier_omniknight_repel_Description"	"Сопротивление эффектам увеличено на %dMODIFIER_PROPERTY_STATUS_RESISTANCE_STACKING%%%."
"[english]modifier_omniknight_repel_Description"	"Status resistance increased by %dMODIFIER_PROPERTY_STATUS_RESISTANCE_STACKING%%%."

"modifier_omniknight_degen_aura_effect"	"Degen Aura"
"[english]modifier_omniknight_degen_aura_effect"	"Degen Aura"

"modifier_omniknight_degen_aura_effect_Description"	"Скорость передвижения уменьшена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, скорость атаки уменьшена на %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."
"[english]modifier_omniknight_degen_aura_effect_Description"	"Movement speed reduced by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, attack speed reduced by %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."

"modifier_omninight_guardian_angel"	"Guardian Angel"
"[english]modifier_omninight_guardian_angel"	"Guardian Angel"

"modifier_omninight_guardian_angel_Description"	"Невосприимчив к физическому урону."
"[english]modifier_omninight_guardian_angel_Description"	"Immune to physical damage."

"modifier_night_stalker_void"	"Void"
"[english]modifier_night_stalker_void"	"Void"

"modifier_night_stalker_void_Description"	"Скорость передвижения уменьшена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, скорость атаки уменьшена на %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."
"[english]modifier_night_stalker_void_Description"	"Slows move speed by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% and attack speed by %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."

"modifier_night_stalker_crippling_fear"	"Безмолвие"
"[english]modifier_night_stalker_crippling_fear"	"Silenced"

"modifier_night_stalker_crippling_fear_Description"	"Безмолвие от способности Crippling Fear"
"[english]modifier_night_stalker_crippling_fear_Description"	"Silenced by Crippling Fear"

"modifier_bounty_hunter_jinada_slow"	"Jinada"
"[english]modifier_bounty_hunter_jinada_slow"	"Jinada"

"modifier_bounty_hunter_jinada_slow_Description"	"Скорость передвижения уменьшена %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, скорость атаки уменьшена на %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."
"[english]modifier_bounty_hunter_jinada_slow_Description"	"Movement speed reduced by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, attack speed reduced by %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."

"modifier_bounty_hunter_wind_walk"	"Shadow Walk"
"[english]modifier_bounty_hunter_wind_walk"	"Shadow Walk"

"modifier_bounty_hunter_wind_walk_Description"	"Двигается сквозь тени."
"[english]modifier_bounty_hunter_wind_walk_Description"	"Moves through the shadows."

"modifier_bounty_hunter_track"	"Track"
"[english]modifier_bounty_hunter_track"	"Track"

"modifier_bounty_hunter_track_effect"	"Track"
"[english]modifier_bounty_hunter_track_effect"	"Track"

"modifier_bounty_hunter_track_effect_Description"	"Увеличивает скорость передвижения на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."
"[english]modifier_bounty_hunter_track_effect_Description"	"Increasing move speed by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."

"modifier_weaver_swarm_debuff"	"Swarm"
"[english]modifier_weaver_swarm_debuff"	"Swarm"

"modifier_weaver_swarm_debuff_Description"	"Наносит урон и уменьшает броню."
"[english]modifier_weaver_swarm_debuff_Description"	"Doing damage and reducing armor."

"modifier_weaver_shukuchi"	"Shukuchi"
"[english]modifier_weaver_shukuchi"	"Shukuchi"

"modifier_weaver_shukuchi_Description"	"Невидим и наносит урон существам, сквозь которых проходит."
"[english]modifier_weaver_shukuchi_Description"	"Invisible and doing damage to units passed through."

"modifier_jakiro_ice_path_stun"	"Ice Path"
"[english]modifier_jakiro_ice_path_stun"	"Ice Path"

"modifier_jakiro_ice_path_stun_Description"	"Заморожен Ice Path героя Jakiro"
"[english]modifier_jakiro_ice_path_stun_Description"	"Being frozen by Jakiro's Ice Path"

"modifier_jakiro_liquid_fire_burn"	"Liquid Fire"
"[english]modifier_jakiro_liquid_fire_burn"	"Liquid Fire"

"modifier_jakiro_liquid_fire_burn_Description"	"Получает урон и замедление от заклинания Jakiro Liquid Fire"
"[english]modifier_jakiro_liquid_fire_burn_Description"	"Taking damage and being slowed by Jakiro's Liquid Fire"

"modifier_jakiro_dual_breath_slow"	"Dual Breath"
"[english]modifier_jakiro_dual_breath_slow"	"Dual Breath"

"modifier_jakiro_dual_breath_slow_Description"	"Под влиянием способности Dual Breath у Jakiro. Скорость передвижения уменьшена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, скорость атаки уменьшена на %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."
"[english]modifier_jakiro_dual_breath_slow_Description"	"Affected by Jakiro's Dual Breath. Move speed slowed by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% and attack speed slowed by %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."

"modifier_jakiro_dual_breath_burn"	"Dual Breath"
"[english]modifier_jakiro_dual_breath_burn"	"Dual Breath"

"modifier_jakiro_dual_breath_burn_Description"	"Получает урон от Dual Breath Jakiro"
"[english]modifier_jakiro_dual_breath_burn_Description"	"Taking damage from Jakiro's Dual Breath"

"modifier_batrider_sticky_napalm"	"Sticky Napalm"
"[english]modifier_batrider_sticky_napalm"	"Sticky Napalm"

"modifier_batrider_sticky_napalm_Description"	"Увеличивает урон, который наносит герой, использовавший напалм, на %dMODIFIER_PROPERTY_TOOLTIP%.\nПонижает скорость поворота на %dMODIFIER_PROPERTY_TURN_RATE_PERCENTAGE%%%.\nЗамедляет скорость передвижения на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."
"[english]modifier_batrider_sticky_napalm_Description"	"Increasing napalm-caster's damage by %dMODIFIER_PROPERTY_TOOLTIP%.\nSlowing turn rate by %dMODIFIER_PROPERTY_TURN_RATE_PERCENTAGE%%%.\nSlowing movement speed by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."

"modifier_batrider_firefly"	"Firefly"
"[english]modifier_batrider_firefly"	"Firefly"

"modifier_batrider_firefly_Description"	"Летит и уничтожает огнем всё на своем пути."
"[english]modifier_batrider_firefly_Description"	"Flying and laying down fiery destruction in your wake."

"modifier_batrider_flaming_lasso"	"Flaming Lasso"
"[english]modifier_batrider_flaming_lasso"	"Flaming Lasso"

"modifier_batrider_flaming_lasso_Description"	"Пойман в лассо Batrider"
"[english]modifier_batrider_flaming_lasso_Description"	"Caught in Batrider's Lasso"

"modifier_chen_penitence"	"Penitence"
"[english]modifier_chen_penitence"	"Penitence"

"modifier_chen_penitence_Description"	"Передвижение замедлено на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."
"[english]modifier_chen_penitence_Description"	"Reducing movement speed by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."

"modifier_chen_holy_persuasion"	"Holy Persuasion"
"[english]modifier_chen_holy_persuasion"	"Holy Persuasion"

"modifier_chen_holy_persuasion_Description"	"Подчиняется Chen."
"[english]modifier_chen_holy_persuasion_Description"	"Persuaded to Chen's cause."

"modifier_chen_test_of_faith_teleport"	"Rapture"
"[english]modifier_chen_test_of_faith_teleport"	"Rapture"

"modifier_chen_test_of_faith_teleport_Description"	"Телепортируется."
"[english]modifier_chen_test_of_faith_teleport_Description"	"Teleporting."

"modifier_spectre_spectral_dagger_path"	"Dagger Path"
"[english]modifier_spectre_spectral_dagger_path"	"Dagger Path"

"modifier_spectre_spectral_dagger_path_Description"	"Указатель эффекта Dagger. Честно."
"[english]modifier_spectre_spectral_dagger_path_Description"	"Dagger Path tracking modifier, TBH"

"modifier_spectre_spectral_dagger"	"Dagger Path Creator"
"[english]modifier_spectre_spectral_dagger"	"Dagger Path Creator"

"modifier_spectre_spectral_dagger_Description"	"Поражен зачарованным клинком, оставляет за собой теневой след"
"[english]modifier_spectre_spectral_dagger_Description"	"Hit by dagger, creating shadow path"

"modifier_spectre_spectral_dagger_in_path"	"След от Spectral Dagger"
"[english]modifier_spectre_spectral_dagger_in_path"	"Spectral Dagger Path"

"modifier_spectre_spectral_dagger_in_path_Description"	"Изменяет скорость передвижения на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."
"[english]modifier_spectre_spectral_dagger_in_path_Description"	"Modifying movespeed by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."

"modifier_spectre_desolate"	"Desolate"
"[english]modifier_spectre_desolate"	"Desolate"

"modifier_spectre_desolate_Description"	"Получает дополнительный урон от Spectre."
"[english]modifier_spectre_desolate_Description"	"Taking bonus damage from Spectre."

"modifier_doom_bringer_devour"	"Devour"
"[english]modifier_doom_bringer_devour"	"Devour"

"modifier_doom_bringer_devour_Description"	"Тот вкусный крип еще переваривается."
"[english]modifier_doom_bringer_devour_Description"	"Still digesting that delicious creep."

"modifier_doom_bringer_scorched_earth_effect"	"Scorched Earth"
"[english]modifier_doom_bringer_scorched_earth_effect"	"Scorched Earth"

"modifier_doom_bringer_scorched_earth_effect_Description"	"Наносит урон со временем, увеличивает скорость передвижения и скорость регенерации здоровья Doom Bringer."
"[english]modifier_doom_bringer_scorched_earth_effect_Description"	"Damaging over time, increasing Doom Bringer's movement speed and his regeneration rate."

"modifier_doom_bringer_doom"	"Doom"
"[english]modifier_doom_bringer_doom"	"Doom"

"modifier_doom_bringer_doom_Description"	"Обезмолвлен, не может использовать предметы и теряет %dMODIFIER_PROPERTY_TOOLTIP% здоровья в секунду."
"[english]modifier_doom_bringer_doom_Description"	"Silenced, cannot use items, and being burned for %dMODIFIER_PROPERTY_TOOLTIP% damage per second."

"modifier_cold_feet"	"Cold Feet"
"[english]modifier_cold_feet"	"Cold Feet"

"modifier_cold_feet_Description"	"Получает урон со временем, будет заморожен на месте, если не отойдет"
"[english]modifier_cold_feet_Description"	"Taking periodic damage, if you don't move you will be frozen in place"

"modifier_ancientapparition_coldfeet_freeze"	"Заморожен"
"[english]modifier_ancientapparition_coldfeet_freeze"	"Frozen"

"modifier_ancientapparition_coldfeet_freeze_Description"	"Заморожен Ancient Apparition."
"[english]modifier_ancientapparition_coldfeet_freeze_Description"	"Frozen by Ancient Apparition."

"modifier_ice_vortex"	"Ice Vortex"
"[english]modifier_ice_vortex"	"Ice Vortex"

"modifier_ice_vortex_Description"	"Замедлен, получает повышенный урон от магии"
"[english]modifier_ice_vortex_Description"	"Slowed, will take additional damage from magic"

"modifier_chilling_touch"	"Chilling Touch"
"[english]modifier_chilling_touch"	"Chilling Touch"

"modifier_chilling_touch_Description"	"Атаки наносят дополнительный магический урон и ненадолго замедляют противника."
"[english]modifier_chilling_touch_Description"	"Attacks deal additional magic damage and cause enemies to be slowed briefly."

"modifier_ice_blast"	"Ice Blast"
"[english]modifier_ice_blast"	"Frostbitten"

"modifier_ice_blast_Description"	"Получает урон со временем, не может быть исцелен, не может восстанавливать здоровье. Мгновенно умрет, если показатель здоровья упадет слишком низко."
"[english]modifier_ice_blast_Description"	"Taking damage over time and cannot heal or regenerate health.  Will instantly shatter if health drops too low."

"modifier_ursa_earthshock"	"Earthshock"
"[english]modifier_ursa_earthshock"	"Earthshock"

"modifier_ursa_earthshock_Description"	"Замедлен на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%"
"[english]modifier_ursa_earthshock_Description"	"Slowed by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%"

"modifier_ursa_overpower"	"Overpower"
"[english]modifier_ursa_overpower"	"Overpower"

"modifier_ursa_overpower_Description"	"Атакует с невероятно большой скоростью!"
"[english]modifier_ursa_overpower_Description"	"Attacking with greatly increased speed!"

"modifier_ursa_fury_swipes_damage_increase"	"Fury Swipes"
"[english]modifier_ursa_fury_swipes_damage_increase"	"Fury Swipes"

"modifier_ursa_fury_swipes_damage_increase_Description"	"Атаки Ursa будут наносить дополнительный урон в размере %dMODIFIER_PROPERTY_TOOLTIP%"
"[english]modifier_ursa_fury_swipes_damage_increase_Description"	"Taking an extra %dMODIFIER_PROPERTY_TOOLTIP% damage from Ursa's attacks"

"modifier_ursa_enrage"	"Enrage"
"[english]modifier_ursa_enrage"	"Enrage"

"modifier_ursa_enrage_Description"	"Получает на 80%% меньше урона, урон от Fury Swipes увеличен в несколько раз."
"[english]modifier_ursa_enrage_Description"	"Taking 80%% less damage, and multiplying Fury Swipes damage."

"modifier_gyrocopter_rocket_barrage"	"Rocket Barrage"
"[english]modifier_gyrocopter_rocket_barrage"	"Rocket Barrage"

"modifier_gyrocopter_rocket_barrage_Description"	"Стреляет залпами ракет."
"[english]modifier_gyrocopter_rocket_barrage_Description"	"Firing salvos of rockets."

"modifier_gyrocopter_flak_cannon"	"Flak Cannon"
"[english]modifier_gyrocopter_flak_cannon"	"Flak Cannon"

"modifier_gyrocopter_flak_cannon_Description"	"Атакует все близлежащие цели."
"[english]modifier_gyrocopter_flak_cannon_Description"	"Attacking all nearby targets."

"modifier_gyrocopter_call_down_slow"	"Call Down"
"[english]modifier_gyrocopter_call_down_slow"	"Call Down"

"modifier_gyrocopter_call_down_slow_Description"	"Замедлен ракетами Gyrocopter на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."
"[english]modifier_gyrocopter_call_down_slow_Description"	"Slowed %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% by Gyrocopter's rockets."

"modifier_spirit_breaker_charge_of_darkness"	"Charge of Darkness"
"[english]modifier_spirit_breaker_charge_of_darkness"	"Charge of Darkness"

"modifier_spirit_breaker_charge_of_darkness_Description"	"Врывается в бой!"
"[english]modifier_spirit_breaker_charge_of_darkness_Description"	"Charging!"

"modifier_spirit_breaker_charge_of_darkness_debuff"	"Charge of Darkness"
"[english]modifier_spirit_breaker_charge_of_darkness_debuff"	"Charge of Darkness"

"modifier_spirit_breaker_charge_of_darkness_debuff_Description"	"Цель разбега Spirit Breaker."
"[english]modifier_spirit_breaker_charge_of_darkness_debuff_Description"	"Incoming charge!"

"modifier_spirit_breaker_empowering_haste"	"Empowering Haste"
"[english]modifier_spirit_breaker_empowering_haste"	"Empowering Haste"

"modifier_spirit_breaker_empowering_haste_Description"	"Передвигается на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% быстрее."
"[english]modifier_spirit_breaker_empowering_haste_Description"	"Moving %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% faster."

"modifier_spirit_breaker_nether_strike"	"Nether Strike"
"[english]modifier_spirit_breaker_nether_strike"	"Nether Strike"

"modifier_spirit_breaker_nether_strike_Description"	"Неуязвимость"
"[english]modifier_spirit_breaker_nether_strike_Description"	"Invulnerable"

"modifier_alchemist_acid_spray"	"Acid Spray"
"[english]modifier_alchemist_acid_spray"	"Acid Spray"

"modifier_alchemist_acid_spray_Description"	"Наносит периодический урон и уменьшает броню на %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%."
"[english]modifier_alchemist_acid_spray_Description"	"Taking periodic damage, armor reduced by %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%."

"modifier_alchemist_chemical_rage"	"Chemical Rage"
"[english]modifier_alchemist_chemical_rage"	"Chemical Rage"

"modifier_alchemist_chemical_rage_Description"	"Интервал между атаками уменьшен на %fMODIFIER_PROPERTY_BASE_ATTACK_TIME_CONSTANT%, восстановление здоровья увеличено на %dMODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT%, восстановление маны увеличено на %fMODIFIER_PROPERTY_BASE_MANA_REGEN%, скорость передвижения увеличена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_CONSTANT%."
"[english]modifier_alchemist_chemical_rage_Description"	"Reducing attack time to %fMODIFIER_PROPERTY_BASE_ATTACK_TIME_CONSTANT%, increasing health regeneration by %dMODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT%, increasing mana regen to %fMODIFIER_PROPERTY_BASE_MANA_REGEN%, increasing movespeed by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_CONSTANT%."

"modifier_invoker_quas_instance"	"Quas"
"[english]modifier_invoker_quas_instance"	"Quas"

"modifier_invoker_quas_instance_Description"	"Восстановление здоровья увеличено на %fMODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT% в секунду."
"[english]modifier_invoker_quas_instance_Description"	"Health regeneration increased by %fMODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT% per second."

"modifier_invoker_wex_instance"	"Wex"
"[english]modifier_invoker_wex_instance"	"Wex"

"modifier_invoker_wex_instance_Description"	"Скорость передвижения увеличена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, скорость атаки увеличена на %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."
"[english]modifier_invoker_wex_instance_Description"	"Movement speed increased by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% and attack speed increased by %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."

"modifier_invoker_exort_instance"	"Exort"
"[english]modifier_invoker_exort_instance"	"Exort"

"modifier_invoker_exort_instance_Description"	"Урон увеличен на %dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE%."
"[english]modifier_invoker_exort_instance_Description"	"Damage increased by %dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE%."

"modifier_invoker_cold_snap"	"Cold Snap"
"[english]modifier_invoker_cold_snap"	"Cold Snap"

"modifier_invoker_cold_snap_Description"	"При ранении получит дополнительный урон и будет ненадолго заморожен."
"[english]modifier_invoker_cold_snap_Description"	"When damaged, will take additional damage and will be frozen briefly."

"modifier_invoker_ghost_walk_self"	"Ghost Walk"
"[english]modifier_invoker_ghost_walk_self"	"Ghost Walk"

"modifier_invoker_ghost_walk_self_Description"	"Невидим, скорость передвижения уменьшена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% и замедляет ближайших врагов."
"[english]modifier_invoker_ghost_walk_self_Description"	"Invisible, movement speed changed by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, and slowing nearby enemies."

"modifier_invoker_ghost_walk_enemy"	"Ghost Walk"
"[english]modifier_invoker_ghost_walk_enemy"	"Ghost Walk"

"modifier_invoker_ghost_walk_enemy_Description"	"Рядом призрак! Замедлен на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."
"[english]modifier_invoker_ghost_walk_enemy_Description"	"Near a ghost! Slowed by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."

"modifier_invoker_tornado"	"Tornado"
"[english]modifier_invoker_tornado"	"Tornado"

"modifier_invoker_tornado_Description"	"Крутится в урагане, получив временную неуязвимость. Не может совершать никаких действий и получит урон при падении."
"[english]modifier_invoker_tornado_Description"	"Swept up in a tornado. Invulnerable but cannot act. Will take damage upon landing."

"modifier_invoker_alacrity"	"Alacrity"
"[english]modifier_invoker_alacrity"	"Alacrity"

"modifier_invoker_alacrity_Description"	"Скорость атаки увеличена на %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%, урон увеличен на %dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE%."
"[english]modifier_invoker_alacrity_Description"	"Attack speed increased by %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT% and damage increased by %dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE%."

"modifier_invoker_chaos_meteor_burn"	"Огонь от Chaos Meteor"
"[english]modifier_invoker_chaos_meteor_burn"	"Chaos Meteor Burn"

"modifier_invoker_chaos_meteor_burn_Description"	"Получает урон каждую секунду."
"[english]modifier_invoker_chaos_meteor_burn_Description"	"Taking damage every second."

"modifier_invoker_ice_wall_slow_debuff"	"Ice Wall"
"[english]modifier_invoker_ice_wall_slow_debuff"	"Ice Wall"

"modifier_invoker_ice_wall_slow_debuff_Description"	"Замедлен ледяной стеной."
"[english]modifier_invoker_ice_wall_slow_debuff_Description"	"Slowed by the wall of ice."

"modifier_invoker_deafening_blast_knockback"	"Отталкивание от Deafening Blast"
"[english]modifier_invoker_deafening_blast_knockback"	"Deafening Blast Knockback"

"modifier_invoker_deafening_blast_knockback_Description"	"Отталкивается заклинанием Deafening Blast."
"[english]modifier_invoker_deafening_blast_knockback_Description"	"Reeling back from the deafening blast."

"modifier_invoker_deafening_blast_disarm"	"Бессилие от Deafening Blast"
"[english]modifier_invoker_deafening_blast_disarm"	"Deafening Blast Disarm"

"modifier_invoker_deafening_blast_disarm_Description"	"Не может атаковать."
"[english]modifier_invoker_deafening_blast_disarm_Description"	"Cannot attack."

"modifier_forged_spirit_melting_strike_debuff"	"Melting Strike"
"[english]modifier_forged_spirit_melting_strike_debuff"	"Melting Strike"

"modifier_forged_spirit_melting_strike_debuff_Description"	"Броня снижена на %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%."
"[english]modifier_forged_spirit_melting_strike_debuff_Description"	"Armor reduced by %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%."

"modifier_silencer_curse_of_the_silent"	"Arcane Curse"
"[english]modifier_silencer_curse_of_the_silent"	"Arcane Curse"

"modifier_silencer_curse_of_the_silent_Description"	"Теряет здоровье и передвигается на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% медленнее. Применение способностей продлит эффект."
"[english]modifier_silencer_curse_of_the_silent_Description"	"Taking damage and slowed by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%. Duration increases when casting a spell."

"modifier_item_armlet_unholy_strength"	"Unholy Strength"
"[english]modifier_item_armlet_unholy_strength"	"Unholy Strength"

"modifier_item_armlet_unholy_strength_Description"	"Урон увеличен на %dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE%.\nСила увеличена на 25, а броня — на %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%.\nКаждую секунду теряет %dMODIFIER_PROPERTY_TOOLTIP% здоровья."
"[english]modifier_item_armlet_unholy_strength_Description"	"Damage increased by %dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE%.\nStrength increased by 25.\nArmor increased by %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%.\nLosing %dMODIFIER_PROPERTY_TOOLTIP% health per second."

"modifier_item_assault_negative_armor"	"Assault Cuirass"
"[english]modifier_item_assault_negative_armor"	"Assault Cuirass"

"modifier_item_assault_negative_armor_Description"	"Броня снижена на %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%"
"[english]modifier_item_assault_negative_armor_Description"	"Armor reduced by %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%"

"modifier_item_assault_positive"	"Assault Cuirass"
"[english]modifier_item_assault_positive"	"Assault Cuirass"

"modifier_item_assault_positive_Description"	"Броня увеличена на %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%.\nСкорость атаки увеличена на %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."
"[english]modifier_item_assault_positive_Description"	"Armor enhanced by %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%.\nAttack speed increased by %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."

"modifier_item_assault_positive_buildings"	"Assault Cuirass"
"[english]modifier_item_assault_positive_buildings"	"Assault Cuirass"

"modifier_item_assault_positive_buildings_Description"	"Броня увеличена на %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%"
"[english]modifier_item_assault_positive_buildings_Description"	"Armor enhanced by %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%"

"modifier_item_assault_negative_buildings_aura"	"Assault Cuirass"
"[english]modifier_item_assault_negative_buildings_aura"	"Assault Cuirass"

"modifier_item_assault_negative_buildings_aura_Description"	"Броня снижена на %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%"
"[english]modifier_item_assault_negative_buildings_aura_Description"	"Armor decreased by %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%"

"modifier_item_blade_mail_reflect"	"Отражение атак от Blade Mail"
"[english]modifier_item_blade_mail_reflect"	"Blade Mail Reflection"

"modifier_item_blade_mail_reflect_Description"	"Возвращает урон атакующим существам."
"[english]modifier_item_blade_mail_reflect_Description"	"Returning damage to attacking units."

"modifier_boots_of_travel_incoming"	"Телепортация от Boots of Travel"
"[english]modifier_boots_of_travel_incoming"	"Boots of Travel Teleport"

"modifier_boots_of_travel_incoming_Description"	"Союзник телепортируется к вам."
"[english]modifier_boots_of_travel_incoming_Description"	"An ally is teleporting to your location."

"modifier_item_phase_boots_active"	"Phase Boots"
"[english]modifier_item_phase_boots_active"	"Phase Boots"

"modifier_item_phase_boots_active_Description"	"Скорость передвижения увеличена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%. Проходит сквозь других существ."
"[english]modifier_item_phase_boots_active_Description"	"Movement speed increased by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% and allows you to move through units."

"modifier_item_buckler_effect"	"Бонус к броне от Buckler"
"[english]modifier_item_buckler_effect"	"Buckler Armor Bonus"

"modifier_item_buckler_effect_Description"	"Броня увеличена на %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS_UNIQUE_ACTIVE%."
"[english]modifier_item_buckler_effect_Description"	"Armor increased by %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS_UNIQUE_ACTIVE%."

"modifier_item_diffusal_blade_slow"	"Замедление от Diffusal Blade"
"[english]modifier_item_diffusal_blade_slow"	"Diffusal Blade Inhibit"

"modifier_item_diffusal_blade_slow_Description"	"Скорость передвижения снижена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."
"[english]modifier_item_diffusal_blade_slow_Description"	"Movement speed reduced by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."

"modifier_bottle_regeneration"	"Восстановление от Bottle"
"[english]modifier_bottle_regeneration"	"Bottle Regeneration"

"modifier_bottle_regeneration_Description"	"Восстанавливает %dMODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT% здоровья и %dMODIFIER_PROPERTY_MANA_REGEN_CONSTANT% маны в секунду."
